feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	y
0.770747099999999	1.777480665	1.119744262	10	0.904246417	0.750226587	6	7	74.55960486
0.517278594	2.102867792	1.433155796	10	0.835581869	0.982529239	4	1	68.65448369
0.528888441	2.287112142	1.18107493	1	0.944968228	0.961391781	7	2	81.00716191
0.398252143	1.28564375099999	0.968843799	1	0.946534562	0.748880595	7	7	82.15763004
0.483613522	2.503183956	1.563708635	10	0.936454074	0.945359288	7	10	86.36
0.635079565	3.009744303	1.176167123	1	0.769761585999999	0.956677596	7	15	87.01862308
0.604774651	2.038295613	0.858416137999999	10	0.730693065	0.969441203	6	6	81.15639071
0.414167286	2.948501379	0.344487832	1	0.719607497	0.981061836	8	11	80.85605367
0.63672632	3.604562685	2.293758232	1	0.882965967999999	0.904875911	10	17	80.52844838
0.55656117	2.094314963	1.145682064	10	1.0	0.839271170999999	6	1	77.43445009
0.303406818	1.1894075	6.286505439	10	1.0	0.959969388	6	1	70.05293187
0.650230148	2.436929255	0.876551785	1	0.60963319	0.980534855	6	1	85.07
0.599161323	2.783288541	1.257751255	1	0.78058248	0.95889608	7	3	80.33836051
0.654520059	3.138763284	0.792253649	1	0.716383075	0.985213223	7	17	80.52844838
0.552987178999999	1.935069643	0.727616253	10	0.587188693	0.990533234	5	3	74.83368673
0.602243611	2.413876664	3.500920194	10	1.0	0.985863389	6	2	77.61044634
0.570058625	3.533388514	2.379745117	1	0.840104509	0.896198148	10	17	89.25293334
0.593104211	2.285750533	1.523550919	10	0.971954156	0.905909629	7	4	86.72958313
0.592586139	2.856093533	0.78047801	1	0.796063381	1.0	8	4	83.11
0.4909887	1.722732772	2.181287937	6	0.746822891	0.714050317	7	11	78.61
0.755809125	2.711100908	0.198748314	1	0.622243545	0.999588422	7	15	78.24
0.607637547999999	2.374340762	1.259999168	1	0.934349032	0.975870488	7	1	78.89882047
0.601524208	1.880882528	0.496728155	10	0.789014931	0.795896484	7	13	80.51
0.712588111	2.853214257	1.024135246	10	0.848581079	0.952443067	7	2	82.20531783
0.488947474	2.533620216	1.045839753	1	0.815871704	0.998592874	6	4	84.02650435
0.627539514	2.383420543	0.376894409	1	0.701821989	0.985270788	5	7	89.0972873
0.459708356	1.070892482	2.894434409	10	0.589353236	0.639353176	7	6	72.83533635
0.508294524	2.689801022	0.017965175	10	0.565504379	0.953549854	7	8	83.10421434
0.0	0.428844	0.0	1	0.0	0.0	4	1	21.76483883
0.59275575	2.614187806	0.554249615	1	0.703660922	0.977896943	7	7	76.54
0.611081471	2.410378408	1.17511252	1	1.0	1.0	5	10	84.63880704
0.643325028	1.655196822	2.19569453	10	1.0	0.696829664	6	1	80.8170452
0.609830022	2.515954912	3.197986153	10	0.938229773	0.922119449	7	5	80.51974774
0.527635222	3.442526639	0.290335094	1	0.754731943	1.0	8	15	87.87414828
0.426443057	1.341890246	1.001073226	1	0.997509503	0.893595549	6	4	81.18315505
0.5102523	2.208916491	0.774390229	1	0.904678035	0.809581779	7	14	85.59288212
0.585266286	2.113426302	0.755507935	10	0.8561651	0.811701978	8	4	76.50086301
0.661259568	2.736820756	0.940237186	1	0.707162387	0.984174654	7	10	88.59778042
0.611598472	1.162899587	0.015682048	10	0.603524156	0.792848127	5	2	75.79396399
0.6812521	1.940265337	0.156516083	10	0.607847868	0.751392242	7	8	83.46932343
0.560630675	2.482079063	0.673253883	10	0.626585545	0.978792485	7	2	76.4985115999999
0.548717242	1.704609052	0.156985772	10	1.0	0.917988804	5	1	77.8888805
0.509788421	1.148115925	1.046489742	1	0.982934986	0.653108324	7	7	79.86
0.756865571	2.323939627	0.81217528	2	0.794620295	0.778679085	7	14	83.46932343
0.617837142999999	2.735978619	0.998358953	10	0.921983179	0.982729139	7	2	83.11
0.592754225	1.949567846	0.846542013	10	0.901364286	0.921335831	7	9	72.57
0.395642317	1.913650295	0.300311136	1	0.668770242	0.857466005999999	6	4	83.13210503
0.547071487999999	2.014074984	2.272232755	10	0.999395257	0.930388859	5	3	83.12
0.525149184	2.574886719	0.408379511	1	0.671866810999999	0.962092144	6	13	83.11008042
0.645263438999999	2.057262944	0.260224382	10	0.589823653	0.959672116	5	6	82.15
0.682456	1.391438537	0.51020555	1	0.843090571	0.720913348	5	10	74.0
0.603494487	2.579406821	0.646294462	2	0.660081733	0.948776263	7	4	80.51
0.4454255	1.282052099	0.910008115	1	1.0	1.0	3	1	79.202701
0.573400352999999	1.858993181	0.975673029	1	0.999075115	0.912225907	5	5	85.88782816
0.536361744	2.271971004	3.121866625	10	1.0	0.995975601	6	1	79.54527275
0.587303848	2.36380751	0.448163236	1	0.820999270999999	0.989952367	5	6	82.07281464
0.549090129	2.212111026	0.627721075	1	1.0	0.951340627	6	2	83.43
0.701064139	2.189314089	1.127751444	1	0.839818548	0.899320285	6	7	86.95989812
0.541615585	2.411828108	1.116138953	10	0.624576367999999	0.880438247999999	7	7	82.53289429
0.578345122	2.687422734	1.220023279	1	0.905315874	0.995698122	7	11	80.52844838
0.487383289	3.12632418	1.079341227	1	0.914875646	0.985389295	9	12	81.25
0.56513292	2.512360632	0.486891776	8	0.750270143	0.732602503	9	18	75.96457768
0.491456881	2.46251197	0.461199066	1	0.756284139	0.968463867	7	1	80.03583572
0.495037205	1.614091734	0.574931364	10	1.0	0.783290255999999	6	1	81.80216289
0.432000211	1.7278231	0.941621034	10	0.937879224	1.0	4	3	72.38116403
0.431103792	1.79130121199999	0.547772482	10	0.790735999	0.82996808	6	3	79.75
0.632191556	2.921173702	1.271630294	2	0.673961748	0.954658507	8	19	87.19461933
0.667924	2.078039787	0.328452645	10	0.66463188	0.912492334	6	6	83.19373817
0.679678230999999	1.701571117	1.926353639	10	0.84208709	0.96003118	4	2	80.2
0.601054762999999	2.377785076	1.388601331	1	1.0	1.0	5	1	80.18191571
0.543795458	1.480807606	1.343583559	10	1.0	0.875485216	3	1	71.22008699
0.723627999999999	2.150862699	0.928478439	1	0.843927283	0.839653888	7	16	80.84
0.52913	1.800502856	3.000587813	10	0.667574991	0.747426832	6	10	77.63
0.599786575	2.01905765	0.049038496	10	0.833266243	0.986423102	4	2	81.17
0.632373316	2.952577088	0.156085986	1	0.717928483	0.999064123	7	10	70.18423712
0.6549616	2.082041114	0.025700621	10	0.574462493999999	0.993921641	5	5	77.90534075
0.533082581	1.414964926	0.107884692	10	0.574972144	0.913891228	4	1	81.17
0.4396184	1.577466846	1.295200305	1	0.680790010999999	0.698374101	7	12	82.09321412
0.481395227	2.765694031	0.667766867	1	0.758813444	0.967128961	7	9	86.36347017
0.419929621	2.180695912	1.471536551	10	1.0	0.932089911	5	1	65.98055133
0.649413625	2.0484069	2.020662462	10	0.715953944	0.941256966	7	1	77.58568007
0.726009	2.118000304	1.356259624	1	0.950986545	0.981699547	5	5	87.44443735
0.661268966	2.671519488	1.396415477	10	0.939784656	0.93276857	7	18	80.34794186
0.516281837999999	1.800696756	0.925179854	1	0.994417614	0.821943792	7	7	76.48
0.50494775	2.382659947	1.008960573	1	0.999914472	0.914751613	7	15	85.59288212
0.560761659	2.356071328	0.858578197	1	0.851134302999999	0.894055955	7	9	81.27472907
0.514417158	2.060701308	0.045470221	10	1.0	0.996728181	5	1	73.91755966
0.550003667	1.555755868	0.122872162	10	0.538692757	0.959360304	3	12	82.34577183
0.5607545	1.640148019	2.076536041	10	1.0	0.868779990999999	6	1	77.01620477
0.550412294	1.676413213	1.161412779	10	0.842370521	0.647838677	7	11	77.4
0.726473440999999	2.599370719	0.133262303	10	0.574313733	0.993284498	6	4	86.24
0.5707481	3.038487266	1.045590135	1	0.779978854	0.997533159	7	2	78.73599874
0.5728876	2.281143499	2.583613759	10	0.956315015	0.989216522	6	3	75.63673008
0.425312051	1.694556379	0.080543097	10	0.698860933	1.0	4	1	70.99
0.598132457	1.882255511	18.12762595	10	0.997984816	0.872311680999999	5	1	78.24
0.472485533	2.403367875	0.560790829	5	0.622897392	0.967545579	7	2	71.56960821
0.487849615	1.791904647	0.706915285	10	1.0	0.983649611	4	1	78.23865669
0.5547929	1.629713281	1.73917137	10	0.880145840999999	0.808006738	7	2	86.36
0.461245436	2.348358147	0.0	1	0.630929754	0.981539477	7	2	76.03108708
0.646212127999999	1.895697891	1.334611726	10	0.947447904	0.936967425	4	2	88.75474318
0.580200097	3.229086283	0.517715312	1	0.680238789	0.962986495	8	12	83.11008042
0.636549051	2.606952949	1.589538455	10	1.0	0.94531622	7	1	71.57678232
0.582988964	1.941625984	0.150157299	10	0.649229851	0.907557712	5	1	65.95322253
0.6273436	1.286274584	0.082000423	1	0.652932781	0.906219855	5	10	87.20638838
0.632540667	3.203241023	0.920307089	1	0.713149744	0.993780251	8	12	79.15
0.637121936	1.969182592	0.568149195	1	0.632881035	0.749105052	7	16	85.51482925
0.686182214	3.189682744	3.083754016	1	0.963123018	0.968250904	8	6	75.38
0.56693255	2.8834406	1.349731093	1	0.819419615	0.966876908	6	6	88.75474318
0.607750649	1.90289945	0.319334985	10	1.0	0.888383921	6	2	84.07868933
0.600422829	3.141390613	0.303951368	2	0.73051853	0.994280302	8	11	75.11
0.733667304	2.849054668	2.085436194	1	0.894663712	0.950398203	8	15	84.48184427
0.82156428	2.646925656	0.922371625	1	0.92089323	0.898932182	7	15	80.52844838
0.432129174	2.188709661	0.98487395	10	0.92961604	0.92963522	9	1	83.43414221
0.620041161	2.091880288	5.843626192	1	0.96566567	0.916434451	5	1	80.53025823
0.614739603	2.366409355	0.654274507	10	0.540576619	0.952982216	7	9	82.47
0.628721375	2.233572441	0.15264336	10	0.661496367	0.942177037	5	10	85.06
0.644488098	2.268680937	0.23744629	10	0.73665186	0.981755942	5	2	83.11815969
0.710005429	3.304666306	1.091030231	1	0.983198631	1.0	7	12	81.81655449
0.601846237	1.679129105	0.738548798	10	0.621228281	0.868830719	4	2	81.17272436
